"","APIACEAE","ASTERX","BETULACEAE","BOTRYCHIUM","BRASSICACEAE","CAMPANULACEA","CANNABACEAE","CAPRIFOLIA","CARYOPHYLL","CHENOAMX","CORNUS","CUPRESSA","CYPERACE","ELAEAGNX","EPHEDRACEAE","ERICACEX","ERICALES","EUPHORB","FABACEAE","FAGACEAE","JUGLANDACEAE","LILIACEAE","MALVACEAE","MORACEAX","MYRICACX","OLEACEAE","ONAGRACEAE","PINACEAE","PLANTAGINX","PLATANACEAE","POACEAE","POLEMONI","POLYGONAX","RANUNCUL","RHAMNACEAE","ROSACEAX","RUBIACEAE","SALICACEAE","SAPINDACEAE","SARCOBATACEAE","SCROPHUL","SXFRAGAX","TAXACEAE","ULMACEAE","URTICACX","VISICACEAE"
"70",2,42,9,0,1,0,0,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,15,0,0,4,0,2,0,25,0,0,0,0,0,0,0,0
"71",0,12,19,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,526,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"72",0,2,6,0,0,0,0,0,0,0,0.1,14,20,0,0,12,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",48,188,43.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,26.5,0,0,0,0,0,0,0,0,0,0,74.5,0,0,0,0,0,0,0
"74",0,4,40,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,324,0,0,19,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0
"75",0,366,23,0,0,0,0,0,0,44,0,11,8,0,0,0,0,0,0,0,0,0,0,0,13,0,0,366,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,2,72,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",0,1.41,1.13,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,5.07,0,0.28,0,0,0,0,0,85.64,0,0,0.28,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0
"78",0,2,250,0,0,0,0,0,0,0,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"79",0,2,19,0,0,0,0,0,0,0,0,37,12,0,0,2,0,0,0,24,0,0,0,0,0,0,0,286,0,0,3,0,1,0,3,13,0,1,2,0,0,0,0,0,0,0
"80",0,5,63,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,306,0,0,13,0,0,0,0,2,0,43,0,0,0,0,0,0,0,0
"81",0,0,32,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0,14,3,0,2,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,296,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0,1,59,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0
"84",0,3,59,0,0,0,0,0,0,1,0,34,1,0,0,0,0,0,0,7,0,0,0,0,1,9,0,86,0,0,28,0,5,0,2,6,0,7,1,0,0,0,1,0,0,0
"85",0,99,0,0,4,0,0,0,0,89,0,59,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,63,0,0,26,0,4,0,1,6,0,0,0,35,0,0,0,0,0,0
"86",0,0,19,0,0,0,0,0,0,0,0,27,137,0,0,12,0,0,0,1,0,0,0,0,11,0,0,147,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0,206,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",0,57,9,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"90",0,16,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",0,10,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",0,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",0,1,15,0,0,0,0,0,0,1,0,1,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"95",0,1,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",0,2,512,0,0,0,0,0,0,2,0,216,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,155,4,0,45,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0
"97",0,2,346,0,0,0,0,0,0,0,0,484,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,177,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"98",0,2,47,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,291,0,0,32,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
"99",0,1,35,0,0,0,0,0,0,0,0,103,3,0,0,38,0,0,0,0,0,0,0,0,10,0,0,211,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"100",0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"101",0,0,170,0,0,0,0,0,0,0,0,0,10,0,0,40,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",0,2,275,0,0,0,0,0,0,2,0,5,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,621,0,5,19,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",0,0,11,0,0,0,0,0,0,0,0,336,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"105",0,9,9,0,1,0,0,0,0,0,0,52,0,2,0,0,0,0,0,3,0,0,0,0,0,2,0,262,0,0,25,0,5,0,3,25,0,4,0,0,0,0,0,0,0,1
"106",0,8,87,0,1,0,0,0,0,1,0,109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,182,0,0,5,0,2,0,1,2,0,2,1,0,0,0,0,0,0,0
